signal_id,result,v1_count,v2_count,v1_min,v2_min,v1_max,v2_max,v1_avg,v2_avg,v1_stddev,v2_stddev,notes
AT2-PUMP.speed,SKIP,0,0,,,,,,,,,No data for either workspace
AT2-PUMP.temp,SKIP,0,0,,,,,,,,,No data for either workspace
BACKWASH-PUMP-101.running_status,PASS,462,462,0.0,0.0,1.0,1.0,0.1818,0.1818,0.3861,0.3861,Avg diff: 0.00% (within tolerance)
BREAKER-01.breaker_status,SKIP,0,0,,,,,,,,,No data for either workspace
BREAKER-01.voltage,SKIP,0,0,,,,,,,,,No data for either workspace
CHEMICAL-CONSUMPTION-STATION-101.chemical_cost_per_m3,PASS,462,462,1336.0,1336.0,1545.0,1545.0,1431.8636,1431.7597,31.7387,31.7118,Avg diff: 0.01% (within tolerance)
CHEMICAL-CONSUMPTION-STATION-101.chlorine_dose_rate,PASS,462,462,1.18,1.18,1.86,1.86,1.5668,1.5662,0.1053,0.1056,Avg diff: 0.04% (within tolerance)
CHEMICAL-CONSUMPTION-STATION-101.coagulant_dose_rate,PASS,462,462,42.08,42.08,48.73,48.73,45.1214,45.1189,1.045,1.0442,Avg diff: 0.01% (within tolerance)
CHLORINE-PUMP-101.flow_rate,PASS,494,495,2.03,2.03,4.4761,4.4761,4.095,4.0912,0.3456,0.3557,Avg diff: 0.09% (within tolerance)
CHLORINE-TANK-101.level,PASS,462,462,56.8,56.8,57.0,57.0,56.9152,56.9152,0.0478,0.0478,Avg diff: 0.00% (within tolerance)
CLARIFIER-101.settled_ph,PASS,462,462,6.233,6.233,8.823,8.823,7.3312,7.3336,0.7713,0.7735,Avg diff: 0.03% (within tolerance)
CLARIFIER-101.settled_turbidity,PASS,462,462,10.76,10.76,20.33,20.33,12.4906,12.4914,0.786,0.7859,Avg diff: 0.01% (within tolerance)
CLARIFIER-QUALITY-STATION-101.clarifier_efficiency_index,PASS,462,462,0.908,0.908,1.0,1.0,0.9974,0.9974,0.0062,0.0062,Avg diff: 0.00% (within tolerance)
CLARIFIER-SCRAPER-101.running_status,PASS,462,462,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,Avg diff: 0.00% (within tolerance)
CLEAR-WATER-QUALITY-STATION-101.clear_water_turbidity,PASS,462,462,0.01,0.01,1.4548,1.4548,0.6804,0.681,0.3686,0.3688,Avg diff: 0.09% (within tolerance)
CLEAR-WATER-TANK-101.level,PASS,494,495,2.96,2.96,69.6,69.6,65.2487,65.1262,16.1521,16.364,Avg diff: 0.19% (within tolerance)
CLEAR-WATER-TANK-101.quality_index,PASS,462,462,0.0,0.0,0.86,0.829,0.3045,0.3028,0.1711,0.1695,Avg diff: 0.56% (within tolerance)
COAG-PUMP-101.flow_rate,PASS,494,495,3.01,3.01,23.1003,23.1003,20.6113,20.5777,4.1445,4.2042,Avg diff: 0.16% (within tolerance)
COAG-TANK-101.level,PASS,462,462,54.4,54.4,55.9,55.9,55.153,55.1535,0.2152,0.2151,Avg diff: 0.00% (within tolerance)
COAG-TANK-101.temperature,PASS,462,462,25.4,25.4,28.5,28.5,26.9143,26.9158,0.5501,0.5497,Avg diff: 0.01% (within tolerance)
COAGULATION-CONTROL-STATION-101.floc_size_index,PASS,462,462,5.65,5.65,7.02,7.02,6.3229,6.3235,0.211,0.2112,Avg diff: 0.01% (within tolerance)
COAGULATION-CONTROL-STATION-101.streaming_current,PASS,462,462,-7.07,-7.07,-5.28,-5.28,-5.9849,-5.9852,0.2423,0.2421,Avg diff: 0.01% (within tolerance)
COMP01-BEARINGS.de_temp,SKIP,0,0,,,,,,,,,No data for either workspace
COMP01-BEARINGS.nde_temp,SKIP,0,0,,,,,,,,,No data for either workspace
COMP01-BEARINGS.thrust_temp,SKIP,0,0,,,,,,,,,No data for either workspace
COMP01-BEARINGS.vibration_axial,SKIP,0,0,,,,,,,,,No data for either workspace
COMP01-BEARINGS.vibration_de,SKIP,0,0,,,,,,,,,No data for either workspace
