signal_id,result,v1_count,v2_count,v1_min,v2_min,v1_max,v2_max,v1_avg,v2_avg,v1_stddev,v2_stddev,notes
PUMP-101.flow_rate,PASS,159,159,79.08,79.08,120.69,120.69,99.8618,99.8618,14.1818,14.1818,Avg diff: 0.00% (within tolerance)
PUMP-101.discharge_pressure,PASS,159,159,4.81,4.81,9.12,9.12,6.974,6.974,1.4187,1.4187,Avg diff: 0.00% (within tolerance)
PUMP-101.running_status,PASS,11,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,Avg diff: 0.00% (within tolerance)
PUMP-101.vibration_rms,PASS,11,11,1.95,1.95,3.05,3.05,2.5227,2.5227,0.4114,0.4114,Avg diff: 0.00% (within tolerance)
MOTOR-101.motor_current,PASS,159,159,39.55,39.55,60.31,60.31,50.0258,50.0258,7.1045,7.1045,Avg diff: 0.00% (within tolerance)
MOTOR-101.motor_temperature,PASS,11,11,60.2,60.2,70.0,70.0,65.1091,65.1091,3.8942,3.8942,Avg diff: 0.00% (within tolerance)
MOTOR-101.running_status,PASS,11,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,Avg diff: 0.00% (within tolerance)
TANK-101.tank_level,PASS,11,11,2.01,2.01,4.01,4.01,2.7082,2.7082,0.6611,0.6611,Avg diff: 0.00% (within tolerance)
TANK-101.temperature,PASS,11,11,19.1,19.1,25.1,25.1,22.5909,22.5909,2.2394,2.2394,Avg diff: 0.00% (within tolerance)
RAW-WATER-QUALITY-STATION-101.raw_turbidity,PASS,69,69,16.9,16.9,89.7938,89.7938,72.571,72.571,22.0402,22.0402,Avg diff: 0.00% (within tolerance)
RAW-WATER-QUALITY-STATION-101.raw_ph,PASS,69,69,6.5,6.5,8.9793,8.9793,7.3751,7.3751,0.7055,0.7055,Avg diff: 0.00% (within tolerance)
RAW-WATER-QUALITY-STATION-101.raw_temperature,PASS,69,69,19.0,19.0,27.7998,27.7998,26.1826,26.1826,1.8338,1.8338,Avg diff: 0.00% (within tolerance)
FILTER-101.filter_dp,PASS,69,69,0.18,0.18,80.03,80.03,44.0496,44.0496,27.2986,27.2986,Avg diff: 0.00% (within tolerance)
FILTER-101.effluent_flow,PASS,69,69,84.27,84.27,230.5,230.5,203.898,203.898,48.9309,48.9309,Avg diff: 0.00% (within tolerance)
CLEAR-WATER-TANK-101.level,PASS,69,69,3.01,3.01,69.5,69.5,59.0604,59.0604,24.137,24.137,Avg diff: 0.00% (within tolerance)
HSP-101.flow_rate,PASS,69,69,100.0,100.0,228.13,228.13,115.9672,115.9672,37.0463,37.0463,Avg diff: 0.00% (within tolerance)
HSP-101-MOTOR.motor_current,PASS,69,69,65.18,65.18,94.96,94.96,86.8564,86.8564,4.9462,4.9462,Avg diff: 0.00% (within tolerance)
COAG-PUMP-101.flow_rate,PASS,68,68,3.07,3.07,22.778,22.778,19.2464,19.2464,5.9801,5.9801,Avg diff: 0.00% (within tolerance)
CHLORINE-PUMP-101.flow_rate,PASS,68,68,2.04,2.04,4.3418,4.3418,3.9929,3.9929,0.5254,0.5254,Avg diff: 0.00% (within tolerance)
