signal_id,result,v1_count,v2_count,v1_min,v2_min,v1_max,v2_max,v1_avg,v2_avg,v1_stddev,v2_stddev,notes
AT2-PUMP.speed,SKIP,0,0,,,,,,,,,No data for either workspace
AT2-PUMP.temp,SKIP,0,0,,,,,,,,,No data for either workspace
BACKWASH-PUMP-101.running_status,FAIL,11,12,0.0,0.0,1.0,1.0,0.5455,0.5,0.5222,0.5222,Avg diff: 8.34% (>5% tolerance)
BREAKER-01.breaker_status,SKIP,0,0,,,,,,,,,No data for either workspace
BREAKER-01.voltage,SKIP,0,0,,,,,,,,,No data for either workspace
CHEMICAL-CONSUMPTION-STATION-101.chemical_cost_per_m3,PASS,11,12,1397.0,1397.0,1481.0,1481.0,1430.3636,1432.0,27.7571,27.0656,Avg diff: 0.11% (within tolerance)
CHEMICAL-CONSUMPTION-STATION-101.chlorine_dose_rate,PASS,11,12,1.46,1.46,1.73,1.73,1.6155,1.6192,0.0793,0.0767,Avg diff: 0.23% (within tolerance)
CHEMICAL-CONSUMPTION-STATION-101.coagulant_dose_rate,PASS,11,12,43.94,43.94,46.71,46.71,44.9845,45.0333,0.9292,0.9019,Avg diff: 0.11% (within tolerance)
CHLORINE-PUMP-101.flow_rate,PASS,17,19,2.04,2.04,4.2725,4.2725,3.6916,3.7042,0.8007,0.7676,Avg diff: 0.34% (within tolerance)
CHLORINE-TANK-101.level,PASS,11,12,56.9,56.9,56.9,56.9,56.9,56.9,0.0,0.0,Avg diff: 0.00% (within tolerance)
CLARIFIER-101.settled_ph,PASS,11,12,6.287,6.287,8.159,8.508,7.2721,7.3751,0.5688,0.6492,Avg diff: 1.42% (within tolerance)
CLARIFIER-101.settled_turbidity,PASS,11,12,11.76,11.55,15.79,15.79,12.8473,12.7392,1.0422,1.0619,Avg diff: 0.84% (within tolerance)
CLARIFIER-QUALITY-STATION-101.clarifier_efficiency_index,PASS,11,12,0.97,0.97,1.0,1.0,0.9958,0.9962,0.0087,0.0084,Avg diff: 0.04% (within tolerance)
CLARIFIER-SCRAPER-101.running_status,PASS,11,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,Avg diff: 0.00% (within tolerance)
CLEAR-WATER-QUALITY-STATION-101.clear_water_turbidity,FAIL,11,12,0.01,0.01,0.7547,0.7547,0.276,0.2904,0.3102,0.2999,Avg diff: 5.22% (>5% tolerance)
CLEAR-WATER-TANK-101.level,PASS,18,19,3.01,3.01,69.5,69.5,43.8783,45.2268,33.0508,32.653,Avg diff: 3.07% (within tolerance)
CLEAR-WATER-TANK-101.quality_index,PASS,11,12,0.328,0.328,0.766,0.766,0.4501,0.4435,0.1274,0.1236,Avg diff: 1.47% (within tolerance)
COAG-PUMP-101.flow_rate,PASS,18,19,3.07,3.07,22.2117,22.2117,14.9762,15.3313,8.5817,8.4824,Avg diff: 2.37% (within tolerance)
COAG-TANK-101.level,PASS,11,12,54.9,54.9,55.5,55.5,55.2091,55.2,0.2023,0.1954,Avg diff: 0.02% (within tolerance)
COAG-TANK-101.temperature,PASS,11,12,25.9,25.9,28.3,28.3,27.1455,27.0417,0.7299,0.7833,Avg diff: 0.38% (within tolerance)
COAGULATION-CONTROL-STATION-101.floc_size_index,PASS,11,12,5.9,5.9,6.54,6.54,6.2382,6.2342,0.2165,0.2069,Avg diff: 0.06% (within tolerance)
COAGULATION-CONTROL-STATION-101.streaming_current,PASS,11,12,-6.16,-6.16,-5.52,-5.52,-5.9709,-5.9783,0.1784,0.172,Avg diff: 0.12% (within tolerance)
COMP01-BEARINGS.de_temp,SKIP,0,0,,,,,,,,,No data for either workspace
COMP01-BEARINGS.nde_temp,SKIP,0,0,,,,,,,,,No data for either workspace
COMP01-BEARINGS.thrust_temp,SKIP,0,0,,,,,,,,,No data for either workspace
COMP01-BEARINGS.vibration_axial,SKIP,0,0,,,,,,,,,No data for either workspace
COMP01-BEARINGS.vibration_de,SKIP,0,0,,,,,,,,,No data for either workspace
